strategy,objective,experiment,iteration,edge_relocation_cg,search_successful_cg,search_failed_cg,search_skipped_cg,edge_relocation_v2x,search_successful_v2x,search_failed_v2x,search_skipped_v2x,edge_relocation_uav,search_successful_uav,search_failed_uav,search_skipped_uav
optimal,lb,1,1,12,15,2,0,13,17,0,0,15,16,0,0
optimal,lb,1,2,15,17,0,0,15,17,0,0,4,16,0,0
optimal,lb,1,3,14,17,0,0,14,17,0,0,7,16,0,0
optimal,lb,1,4,13,17,0,0,11,17,0,0,5,16,0,0
optimal,lb,1,5,9,17,0,0,14,17,0,0,5,16,0,0
optimal,latency,2,1,9,11,6,0,15,17,0,0,13,15,0,0
optimal,latency,2,2,3,11,6,0,5,17,0,0,6,16,0,0
optimal,latency,2,3,1,11,6,0,6,17,0,0,3,16,0,0
optimal,latency,2,4,7,14,3,0,3,17,0,0,6,16,0,0
optimal,latency,2,5,1,11,6,0,3,17,0,0,3,16,0,0
optimal,hybrid,3,1,10,12,5,0,17,17,0,0,16,16,0,0
optimal,hybrid,3,2,9,13,4,0,14,17,0,0,14,16,0,0
optimal,hybrid,3,3,4,13,4,0,15,17,0,0,10,16,0,0
optimal,hybrid,3,4,11,16,4,0,13,17,0,0,15,16,0,0
optimal,hybrid,3,5,7,15,2,0,11,16,1,0,15,16,0,0
heuristic,hybrid_if,4,1,12,12,5,0,17,17,0,0,15,16,0,0
heuristic,hybrid_if,4,2,2,2,0,15,1,1,0,16,0,0,0,16
heuristic,hybrid_if,4,3,1,1,0,16,0,0,0,17,0,0,0,16
heuristic,hybrid_if,4,4,1,1,0,16,0,0,0,17,0,0,0,16
heuristic,hybrid_if,4,5,1,1,0,16,0,0,0,17,0,0,0,16
heuristic,hybrid,5,1,8,12,5,0,14,17,0,0,16,16,0,0
heuristic,hybrid,5,2,6,15,2,0,14,17,0,0,16,16,0,0
heuristic,hybrid,5,3,11,14,3,0,15,17,0,0,15,16,0,0
heuristic,hybrid,5,4,6,15,2,0,16,1,0,0,13,16,0,0
heuristic,hybrid,5,5,9,14,3,0,15,17,0,0,16,16,0,0
