experiment,iteration,cluster,cpu_used,cpu_alloc,cpu_util,memory_used,memory_alloc,memory_util
null,null,mec12,3.0,4.0,75.2,2819450112.0,4022013952.0,70.1
null,null,mec13,3.2,4.0,79.2,2748146944.0,4022022144.0,68.3
null,null,mec14,2.9,4.0,72.5,2523751680.0,4022013952.0,62.7
null,null,mec11,3.9,4.0,97.0,2988270848.0,4022013952.0,74.3
null,null,mec16,3.5,4.0,87.0,2664260864.0,4022013952.0,66.2
null,null,mec17,2.9,4.0,71.2,2462934272.0,4022013952.0,61.2
null,null,mec18,3.1,4.0,77.5,2924307712.0,4022013952.0,72.7
null,null,mec15,3.0,4.0,75.8,2731369728.0,4022013952.0,67.9
null,null,mec20,3.1,4.0,76.8,2739758336.0,4022013952.0,68.1
null,null,mec21,3.2,4.0,79.2,2708301056.0,4022013952.0,67.3
null,null,mec22,3.4,4.0,85.0,3691865344.0,4022022144.0,91.8
null,null,mec19,3.0,4.0,73.8,2878170368.0,4022013952.0,71.6
null,null,mec24,3.3,4.0,81.8,2704106752.0,4022022144.0,67.2
null,null,mec25,3.9,4.0,98.2,3606930688.0,4022013952.0,89.7
null,null,mec26,3.7,4.0,92.5,3252512000.0,4022013952.0,80.9
null,null,mec23,3.0,4.0,74.5,2941084928.0,4022022144.0,73.1
null,null,mec3,6.7,8.0,84.1,6391948544.0,8242675712.0,77.5
null,null,mec4,1.6,8.0,19.4,1118659840.0,8242683904.0,13.6
null,null,mec5,2.1,8.0,26.8,1830642944.0,8242683904.0,22.2
null,null,mec6,3.3,8.0,41.4,3078448384.0,8242683904.0,37.3
null,null,mec7,2.3,8.0,29.2,2137875712.0,8242675712.0,25.9
null,null,mec1,4.1,12.0,34.5,3655165184.0,12457054208.0,29.3
1,1,mec12,1.6,4.0,38.8,1118659840.0,4022013952.0,27.8
1,1,mec13,2.2,4.0,56.2,1925014784.0,4022022144.0,47.9
1,1,mec14,2.2,4.0,55.8,1790797056.0,4022013952.0,44.5
1,1,mec11,2.2,4.0,54.0,2083349760.0,4022013952.0,51.8
1,1,mec16,2.4,4.0,60.5,1911383296.0,4022013952.0,47.5
1,1,mec17,2.4,4.0,60.2,1701668096.0,4022013952.0,42.3
1,1,mec18,3.1,4.0,78.8,2821547264.0,4022013952.0,70.2
1,1,mec15,3.1,4.0,76.8,2705155328.0,4022013952.0,67.3
1,1,mec20,3.0,4.0,74.8,2752341248.0,4022013952.0,68.4
1,1,mec21,2.7,4.0,68.5,2566743296.0,4022013952.0,63.8
1,1,mec22,2.8,4.0,70.0,2775409920.0,4022022144.0,69.0
1,1,mec19,2.5,4.0,63.5,1797088512.0,4022013952.0,44.7
1,1,mec24,2.2,4.0,54.0,1805477120.0,4022022144.0,44.9
1,1,mec25,2.5,4.0,63.2,1938646272.0,4022013952.0,48.2
1,1,mec26,2.2,4.0,54.5,1796039936.0,4022013952.0,44.7
1,1,mec23,2.5,4.0,61.8,1941792000.0,4022022144.0,48.3
1,1,mec3,3.5,8.0,44.4,3740099840.0,8242675712.0,45.4
1,1,mec4,4.8,8.0,60.0,4366099712.0,8242683904.0,53.0
1,1,mec5,4.6,8.0,57.1,4062012672.0,8242683904.0,49.3
1,1,mec6,4.7,8.0,59.1,4462568704.0,8242683904.0,54.1
1,1,mec7,5.4,8.0,67.9,5359101184.0,8242675712.0,65.0
1,1,mec1,9.4,12.0,78.2,9176966400.0,12457054208.0,73.7
1,2,mec12,2.2,4.0,56.0,2125292800.0,4022013952.0,52.8
1,2,mec13,2.8,4.0,69.0,2814207232.0,4022022144.0,70.0
1,2,mec14,3.0,4.0,74.8,2801624320.0,4022013952.0,69.7
1,2,mec11,2.5,4.0,61.8,1974297856.0,4022013952.0,49.1
1,2,mec16,2.1,4.0,52.8,2142070016.0,4022013952.0,53.3
1,2,mec17,1.6,4.0,38.8,1118659840.0,4022013952.0,27.8
1,2,mec18,2.5,4.0,61.5,1814914304.0,4022013952.0,45.1
1,2,mec15,1.6,4.0,38.8,1118659840.0,4022013952.0,27.8
1,2,mec20,2.9,4.0,73.5,2275239168.0,4022013952.0,56.6
1,2,mec21,3.0,4.0,74.8,2739758336.0,4022013952.0,68.1
1,2,mec22,2.9,4.0,72.0,2759681280.0,4022022144.0,68.6
1,2,mec19,2.5,4.0,61.5,1954374912.0,4022013952.0,48.6
1,2,mec24,2.2,4.0,56.2,1925014784.0,4022022144.0,47.9
1,2,mec25,2.2,4.0,54.0,1805477120.0,4022013952.0,44.9
1,2,mec26,2.5,4.0,63.5,1797088512.0,4022013952.0,44.7
1,2,mec23,2.5,4.0,63.2,1938646272.0,4022022144.0,48.2
1,2,mec3,3.5,8.0,43.1,3715982592.0,8242675712.0,45.1
1,2,mec4,4.6,8.0,57.6,3616367872.0,8242683904.0,43.9
1,2,mec5,5.0,8.0,62.3,4484588800.0,8242683904.0,54.4
