experiment,iteration,cluster,cpu_used,cpu_alloc,cpu_util,memory_used,memory_alloc,memory_util
null,null,mec12,3.1,4.0,77.2,2512217344.0,4022013952.0,62.5
null,null,mec13,2.2,4.0,56.2,1715299584.0,4022022144.0,42.6
null,null,mec14,2.8,4.0,70.5,2492294400.0,4022013952.0,62.0
null,null,mec11,2.8,4.0,69.5,2508023040.0,4022013952.0,62.4
null,null,mec16,2.9,4.0,73.5,2625463552.0,4022013952.0,65.3
null,null,mec17,3.1,4.0,77.8,2468177152.0,4022013952.0,61.4
null,null,mec18,3.1,4.0,76.5,2738709760.0,4022013952.0,68.1
null,null,mec15,3.0,4.0,75.2,2432525568.0,4022013952.0,60.5
null,null,mec20,2.3,4.0,56.5,1744659712.0,4022013952.0,43.4
null,null,mec21,2.9,4.0,72.0,2624414976.0,4022013952.0,65.3
null,null,mec22,2.1,4.0,53.0,1799185664.0,4022022144.0,44.7
null,null,mec19,2.4,4.0,60.5,1911383296.0,4022013952.0,47.5
null,null,mec24,2.4,4.0,59.5,1772971264.0,4022022144.0,44.1
null,null,mec25,3.1,4.0,77.0,2722981120.0,4022013952.0,67.7
null,null,mec26,3.2,4.0,80.0,2606589184.0,4022013952.0,64.8
null,null,mec23,3.0,4.0,74.0,2563597568.0,4022022144.0,63.7
null,null,mec3,4.2,8.0,52.9,4732052736.0,8242675712.0,57.4
null,null,mec4,4.9,8.0,61.8,4225590528.0,8242683904.0,51.3
null,null,mec5,4.4,8.0,55.2,4954350848.0,8242683904.0,60.1
null,null,mec6,6.0,8.0,75.4,5412578560.0,8242683904.0,65.7
null,null,mec7,3.3,8.0,41.0,2863490304.0,8242675712.0,34.7
null,null,mec1,3.6,12.0,30.3,3598542080.0,12457054208.0,28.9

1,1,mec12,2.1,4.0,53.8,1849517312.0,4022013952.0,46.0
1,1,mec13,2.2,4.0,56.2,1715299584.0,4022022144.0,42.6
1,1,mec14,2.1,4.0,53.8,2035115264.0,4022013952.0,50.6
1,1,mec11,2.3,4.0,56.5,1814914304.0,4022013952.0,45.1
1,1,mec16,2.9,4.0,73.5,2625463552.0,4022013952.0,65.3
1,1,mec17,2.9,4.0,73.0,2577229056.0,4022013952.0,64.1
1,1,mec18,2.4,4.0,59.2,1941792000.0,4022013952.0,48.3
1,1,mec15,3.0,4.0,74.5,2382193920.0,4022013952.0,59.2
1,1,mec20,3.0,4.0,73.8,2423088384.0,4022013952.0,60.2
1,1,mec21,2.1,4.0,52.0,1692230912.0,4022013952.0,42.1
1,1,mec22,2.8,4.0,69.8,2562548992.0,4022022144.0,63.7
