strategy,objective,experiment,iteration,edge_relocation_cg,search_successful_cg,search_failed_cg,search_skipped_cg,edge_relocation_v2x,search_successful_v2x,search_failed_v2x,search_skipped_v2x,edge_relocation_uav,search_successful_uav,search_failed_uav,search_skipped_uav
optimal,lb,1,1,18,19,0,0,10,13,0,0,9,18,0,0
optimal,lb,1,2,14,15,0,0,13,17,0,0,4,18,0,0
optimal,lb,1,3,18,20,0,0,12,12,0,0,3,18,0,0
optimal,lb,1,4,16,17,0,0,12,17,0,0,6,16,0,0
optimal,lb,1,5,12,14,0,0,12,16,0,0,6,20,0,0
,,,,,,,,,,,,,,,
optimal,latency,2,1,2,13,6,0,5,12,1,0,8,18,0,0
optimal,latency,2,2,3,9,6,0,7,17,0,0,7,18,0,0
optimal,latency,2,3,2,7,13,0,5,12,0,0,9,18,0,0
optimal,latency,2,4,2,3,14,0,5,17,0,0,7,16,0,0
optimal,latency,2,5,3,5,9,0,11,16,0,0,10,20,0,0
,,,,,,,,,,,,,,,
optimal,hybrid,3,1,9,15,4,0,12,13,0,0,16,18,0,0
optimal,hybrid,3,2,10,14,1,0,14,17,0,0,17,18,0,0
optimal,hybrid,3,3,11,18,2,0,10,12,0,0,16,18,0,0
optimal,hybrid,3,4,8,10,7,0,15,17,0,0,12,16,0,0
optimal,hybrid,3,5,5,9,5,0,14,16,0,0,19,20,0,0
,,,,,,,,,,,,,,,
heuristic,hybrid_if,4,1,6,6,2,11,1,1,0,12,0,0,0,18
heuristic,hybrid_if,4,2,4,4,0,11,3,3,0,14,0,0,0,18
heuristic,hybrid_if,4,3,8,8,2,10,2,2,0,10,0,0,0,18
heuristic,hybrid_if,4,4,3,3,4,10,1,1,0,16,0,0,0,16
heuristic,hybrid_if,4,5,6,6,1,7,7,7,0,9,1,1,0,19
,,,,,,,,,,,,,,,
heuristic,hybrid,5,1,10,15,4,0,11,13,0,0,15,18,0,0
heuristic,hybrid,5,2,10,14,1,0,14,17,0,0,14,18,0,0
heuristic,hybrid,5,3,8,16,4,0,10,12,0,0,16,18,0,0
heuristic,hybrid,5,4,7,11,6,0,16,17,0,0,15,16,0,0
heuristic,hybrid,5,5,8,11,3,0,13,16,0,0,19,20,0,0
