strategy,objective,experiment,iteration,edge_relocation_cg,search_successful_cg,search_failed_cg,search_skipped_cg,edge_relocation_v2x,search_successful_v2x,search_failed_v2x,search_skipped_v2x,edge_relocation_uav,search_successful_uav,search_failed_uav,search_skipped_uav
optimal,lb,1,1,9,11,0,0,17,22,0,0,11,17,0,0
optimal,lb,1,2,13,17,0,0,8,13,0,0,13,20,0,0
optimal,lb,1,3,18,22,0,0,15,17,0,0,4,11,0,0
optimal,lb,1,4,11,13,0,0,18,22,0,0,5,15,0,0
optimal,lb,1,5,16,16,0,0,16,22,0,0,3,12,0,0
,,,,,,,,,,,,,,,
optimal,latency,2,1,0,7,4,0,9,22,0,0,9,17,0,0
optimal,latency,2,2,0,8,9,0,3,13,0,0,7,20,0,0
optimal,latency,2,3,2,10,12,0,3,17,0,0,5,11,0,0
optimal,latency,2,4,1,6,7,0,5,22,0,0,4,15,0,0
optimal,latency,2,5,1,5,11,0,5,22,0,0,2,12,0,0
,,,,,,,,,,,,,,,
optimal,hybrid,3,1,7,11,0,0,18,22,0,0,14,17,0,0
optimal,hybrid,3,2,7,15,2,0,11,13,0,0,18,20,0,0
optimal,hybrid,3,3,10,15,7,0,16,17,0,0,10,11,0,0
optimal,hybrid,3,4,3,7,6,0,18,22,0,0,14,15,0,0
optimal,hybrid,3,5,7,11,5,0,18,22,0,0,12,12,0,0
,,,,,,,,,,,,,,,
heuristic,hybrid_if,4,1,2,2,2,7,4,4,0,18,0,0,0,17
heuristic,hybrid_if,4,2,2,2,5,10,3,3,0,10,0,0,0,20
heuristic,hybrid_if,4,3,1,1,10,11,2,2,0,15,0,0,0,11
heuristic,hybrid_if,4,4,4,4,0,9,4,4,0,18,0,0,0,15
heuristic,hybrid_if,4,5,11,11,1,4,6,6,0,16,0,0,0,12
,,,,,,,,,,,,,,,
heuristic,hybrid,5,1,8,11,0,0,18,22,0,0,16,17,0,0
heuristic,hybrid,5,2,8,16,1,0,8,13,0,0,18,20,0,0
heuristic,hybrid,5,3,10,16,6,0,15,17,0,0,9,11,0,0
heuristic,hybrid,5,4,3,6,7,0,20,22,0,0,14,15,0,0
heuristic,hybrid,5,5,7,10,6,0,20,22,0,0,10,12,0,0
