experiment,iteration,cluster,cpu_used,cpu_alloc,cpu_util,memory_used,memory_alloc,memory_util
1,1,mec12,3.1,4.0,78.0,2397922560.0,4022013952.0,59.6,
1,1,mec13,3.0,4.0,75.5,2672649472.0,4022022144.0,66.5,
1,1,mec14,2.9,4.0,72.8,2409456896.0,4022013952.0,59.9,
1,1,mec11,2.4,4.0,60.5,1911383296.0,4022013952.0,47.5,
1,1,mec16,2.2,4.0,55.5,1748854016.0,4022013952.0,43.5,
1,1,mec17,2.2,4.0,56.0,1797088512.0,4022013952.0,44.7,
1,1,mec18,2.9,4.0,71.8,2512217344.0,4022013952.0,62.5,
1,1,mec15,2.4,4.0,59.0,2101175552.0,4022013952.0,52.2,
1,1,mec20,2.1,4.0,53.0,1799185664.0,4022013952.0,44.7,
1,1,mec21,2.2,4.0,55.8,1780311296.0,4022013952.0,44.3,
1,1,mec22,2.8,4.0,70.8,2820498688.0,4022022144.0,70.1,
1,1,mec19,2.9,4.0,71.2,2696766720.0,4022013952.0,67.1,
1,1,mec24,3.0,4.0,74.2,2672649472.0,4022022144.0,66.5,
1,1,mec25,2.7,4.0,67.2,2755486976.0,4022013952.0,68.5,
1,1,mec26,2.4,4.0,60.5,1789748480.0,4022013952.0,44.5,
1,1,mec23,2.2,4.0,56.0,1915577600.0,4022022144.0,47.6,
1,1,mec3,3.0,8.0,37.6,3127731456.0,8242675712.0,37.9,
1,1,mec4,3.3,8.0,40.8,3056428288.0,8242683904.0,37.1,
1,1,mec5,2.9,8.0,36.8,2675795200.0,8242683904.0,32.5,
1,1,mec6,6.4,8.0,80.0,5368538368.0,8242683904.0,65.1,
1,1,mec7,5.2,8.0,64.6,4721566976.0,8242675712.0,57.3,
1,1,mec1,8.6,12.0,71.7,8294065408.0,12457054208.0,66.6,
1,2,mec12,2.4,4.0,60.2,1701668096.0,4022013952.0,42.3,
1,2,mec13,2.2,4.0,54.0,1873634560.0,4022022144.0,46.6,
1,2,mec14,1.6,4.0,38.8,1118659840.0,4022013952.0,27.8,
1,2,mec11,2.3,4.0,56.5,1744659712.0,4022013952.0,43.4,
1,2,mec16,3.1,4.0,77.2,2541577472.0,4022013952.0,63.2,
1,2,mec17,2.3,4.0,57.8,2033018112.0,4022013952.0,50.5,
1,2,mec18,2.7,4.0,67.0,2423088384.0,4022013952.0,60.2,
1,2,mec15,1.6,4.0,38.8,1118659840.0,4022013952.0,27.8,
1,2,mec20,2.8,4.0,70.8,2495440128.0,4022013952.0,62.0,
1,2,mec21,3.0,4.0,76.2,2603443456.0,4022013952.0,64.7,
1,2,mec22,2.8,4.0,70.8,2820498688.0,4022022144.0,70.1,
1,2,mec19,2.9,4.0,72.8,2380096768.0,4022013952.0,59.2,
1,2,mec24,2.2,4.0,56.0,1797088512.0,4022022144.0,44.7,
1,2,mec25,2.7,4.0,67.2,2755486976.0,4022013952.0,68.5,
1,2,mec26,2.4,4.0,60.5,1789748480.0,4022013952.0,44.5,
1,2,mec23,3.0,4.0,75.8,2735564032.0,4022022144.0,68.0,
1,2,mec3,3.4,8.0,41.9,3035456768.0,8242675712.0,36.8,
1,2,mec4,4.5,8.0,56.0,4812793088.0,8242683904.0,58.4,
1,2,mec5,4.5,8.0,56.5,4396508416.0,8242683904.0,53.3,
1,2,mec6,4.7,8.0,58.8,4099761408.0,8242683904.0,49.7,
1,2,mec7,4.6,8.0,57.2,3959252224.0,8242675712.0,48.0,
1,2,mec1,9.3,12.0,77.2,8788993280.0,12457054208.0,70.6,
1,3,mec12,2.3,4.0,56.5,1744659712.0,4022013952.0,43.4,
